applicant_id,days_to_default,prior_underwriter_score,requested_amount,final_recovered_amount,sector,geography_region,has_linked_bank_feed,default_flag
d09bfa55-a871-a120-49cb-c919001fdf3c,43.0,0.4143218905602594,22280.44140028651,1812.743356436784,1,3,False,1.0
ba7231f3-8742-8484-2147-f25a20163974,16.0,0.4912606550587072,32169.200956172765,3148.942792664651,1,2,False,1.0
4e9296e5-4ee5-3e0d-052f-672b9cd661a7,44.0,0.6401399249408689,24626.539648399365,2154.145107429446,4,1,False,1.0
d4cac464-c0ea-bf5a-4c71-efa66af7b64c,26.0,0.8500211566255963,29616.543167476637,6096.749678070265,4,1,True,1.0
f7ece595-9ba4-d606-2e5a-e4e0a22d53b8,48.0,0.9416019301278724,32719.560001804515,1550.041625935226,0,3,True,1.0
f407b704-4c08-ae25-017a-6897e2411264,22.0,0.970556679550934,36287.991428581205,7848.232633521713,2,0,True,1.0
c32acff5-4760-2503-e438-42e86e158bc5,26.0,0.5351810531616444,33354.14769491054,6372.50272741771,2,3,True,1.0
9a917d82-7bf8-cbf6-b431-7a6e8e169026,10.0,0.9582046785833104,28592.89824887505,3221.147300116581,2,3,False,1.0
d653170a-8cfe-af60-9a99-9c80845e5cba,47.0,0.9548672838427696,28994.35826947359,1183.7351504316184,4,3,True,1.0
2d543c07-0723-743c-bc7b-6f03d5280337,18.0,0.6976786441517165,23594.51257418842,3401.5675926671806,0,3,True,1.0
a194de66-b606-9ce5-56f5-e460e5d30dd6,40.0,0.9490247015138252,21005.62354942347,1922.5580178021344,1,3,True,1.0
4f11fffb-9cb7-3dc0-5923-d388e61e5da0,30.0,0.3455670917656822,28930.19776707194,553.2256032693463,0,2,False,1.0
9673ce8a-44b5-3d66-d3f5-77df14a000c2,90.0,0.937904156835799,24541.62744751532,0.0,0,2,False,1.0
ade40b26-a42c-9002-463c-e5fa428fed85,14.0,0.7444727987556862,25737.835122722536,7871.93733872426,1,2,True,1.0
b3d9df90-feba-2092-51c9-ce7c7a98782c,21.0,0.3111532369276232,22186.57475189731,1972.1429438526657,0,1,True,1.0
b9f7d433-6cd4-e851-046b-d8df104489b0,28.0,0.4623355598606832,40129.249882907694,5180.969035325229,2,0,True,1.0
3babc892-407f-06c2-1fb5-996a99215cb2,36.0,0.9199042431989918,25294.19790470512,1257.0835525199798,3,1,False,1.0
fc6d6c6d-0d60-9177-aadf-8dc161e34fa0,90.0,0.3785157201845206,32495.519854367863,0.0,3,2,False,1.0
71cc17a5-5acf-8303-cae4-a185c1a5f7f1,59.0,0.305578162412806,38704.52133886804,556.3460163719113,0,0,True,1.0
f8adda3a-2864-e3b7-9876-9551ca8b06a5,3.0,0.4627472715509826,40578.10795582362,10145.553738340166,4,1,True,1.0
c35d229a-3acb-6941-5879-f28c8fe9c0da,43.0,0.9770652981282416,26614.80222949976,1191.3864566414468,3,1,True,1.0
88a532fd-5b77-5b84-9a70-3d150b47fbac,29.0,0.5947463198532696,27266.051968565134,4216.770496387729,0,2,False,1.0
f12919cb-5256-5936-fac8-e91440edf2e5,13.0,0.3901613802971045,33713.97453769513,4739.702275142593,1,2,True,1.0
befd0236-bc19-22c4-d438-553dc4a43427,40.0,0.9106055966030624,22789.525502090637,2788.751599248744,1,1,False,1.0
52566f4e-3044-1df3-a39e-cbdc1bb323d7,90.0,0.9715433701209002,35182.31122040019,0.0,0,0,False,1.0
afdd537a-2c84-2286-bd68-9424c85d39fa,33.0,0.3742778530797122,23004.673024490632,1851.759948126115,0,0,True,1.0
966317b0-e7ca-d6ca-6a67-5a8689c232c4,45.0,0.999786976614657,28721.308652245443,2494.126760728399,2,0,True,1.0
de6d3da1-c4dd-c2c9-ab98-6317470f55e6,13.0,0.6371981950246137,37628.681550336834,8475.747856632664,1,1,True,1.0
7fb6db0f-226e-7481-e793-268922e01e76,46.0,0.4597650228510027,19933.62461013629,1108.6372108516282,0,2,False,1.0
41b45c64-f01e-2419-3687-d4b9a5aa6848,30.0,0.3826702443390242,24957.12689608161,3016.123629032016,4,2,True,1.0
ce7d5a9d-cc5b-3ce4-441c-19accbef15ca,37.0,0.4151333562544039,28476.45185387088,3027.4084587369475,0,2,False,1.0
bea69537-585f-3ede-b6bc-adb08fd2b1c3,41.0,0.8275542619692432,29461.028702341067,2043.4115667181927,2,3,True,1.0
e8de2b26-0eea-a81d-6d95-74dab5eb5bae,30.0,0.9868083032148964,24809.81292807634,1802.3192654359868,0,0,True,1.0
53629dd6-53e0-3766-3e7e-2bc5a454054b,17.0,0.6329645544749056,23610.19504847932,3283.576405802076,1,2,True,1.0
0d02716d-ffc6-f909-3ffc-c5f35fe254f4,18.0,0.9775465480162648,38933.50466283601,6576.041090309908,1,2,False,1.0
68fcad24-a4b0-47e2-2d3c-807d3d4ac511,90.0,0.9211992563428326,15895.334838744006,0.0,1,3,True,1.0
68473bd2-ab45-5776-3c7a-65c77e6b7dda,39.0,0.9182633597376072,28833.379193674755,590.8081989519433,1,2,False,1.0
588c87c8-0dbc-d98d-84c1-fd9fee86a047,27.0,0.5455142335801083,25326.79060034188,2061.349337945668,1,3,False,1.0
fa1044d6-adaf-c8d9-c3cd-3654e1c27c69,90.0,0.987849014140514,22806.704035508246,0.0,1,0,True,1.0
093d3678-c348-08ee-1df1-c676782a6a35,90.0,0.9037156348937206,24491.972923108624,0.0,1,3,False,1.0
669393d9-8232-8f5f-802d-6b7bc1c3876f,48.0,0.9756596088536752,27799.969519977418,799.2776772065927,0,0,False,1.0
0dea9485-591e-1841-0a4e-14c149ef5032,90.0,0.7316971003499698,30530.67101059741,0.0,2,0,False,1.0
4a07913d-6988-7f58-1670-7f78649fb0b5,90.0,0.310554379266765,26628.57515722788,0.0,1,2,True,1.0
c269e2db-04ae-7cd1-8834-7ea23765738e,47.0,0.917504355672147,31069.13701955279,1827.1178727462689,3,2,False,1.0
86407b30-88d3-0a7a-866e-319e1e4a1182,17.0,0.9959838507998988,30619.194333443687,8739.128572155994,4,1,True,1.0
7e834c68-da02-aeb8-15f0-1c26cd5ae048,90.0,0.990036989658066,22784.168532434687,0.0,0,3,True,1.0
42c0194e-a8a1-5897-43ba-8a455589695b,49.0,0.4860816662024541,39522.98339201933,1465.9201733448986,0,3,True,1.0
